,DC01,DC02,DC03,DC04,DC05,DC06,DC07,DC08,DC09,DC10,DC11,DC12,DC13,DC14,DC15,DC16,DC17,DC18,DC19,DC20,DC21,DC22,DC23,DC24,DC25,DC26,DC27,DC28,DC29,DC30,DC31,DC32,DC33,DC34,DC35,DC36,DC37,DC38,DC39,DC40,DC41,DC42,DC43,DC44,DC45,DC46,DC47,DC48,DC49,DC50,DC51,DC52,DC53,DC54,DC55,DC56,DC57,DC58,DC59,DC60,DC61,DC62,DC63,DC64,DC65,DC66,DC67,DC68,DC69,DC70,DC71,DC72,DC73,DC74,DC75,DC76,DC77,DC78,DC79,DC80,DC81,DC82,DC83,DC84,DC85,DC86,DC87,DC88,DC89,DC90,DC91,DC92,DC93,DC94,DC95
DC35,1.0,27.0,11.0,3.0,7.0,15.0,6.0,0.0,13.0,10.0,1.0,24.0,2.0,0.0,20.0,12.0,18.0,7.0,13.0,22.0,12.0,32.0,31.0,1.0,0.0,18.0,2.0,12.0,36.0,33.0,26.0,18.0,9.0,10.0,100.0,6.0,29.0,9.0,22.0,28.0,21.0,10.0,10.0,12.0,19.0,6.0,8.0,29.0,9.0,18.0,18.0,14.0,7.0,6.0,11.0,7.0,21.0,19.0,6.0,27.0,35.0,8.0,7.0,19.0,24.0,10.0,34.0,7.0,5.0,10.0,30.0,24.0,12.0,13.0,26.0,24.0,9.0,33.0,31.0,27.0,22.0,8.0,30.0,20.0,34.0,32.0,10.0,10.0,35.0,28.0,23.0,10.0,14.0,13.0,24.0
DC36,0.0,6.0,23.0,0.0,29.0,33.0,38.0,0.0,35.0,27.0,0.0,4.0,1.0,0.0,5.0,30.0,15.0,27.0,27.0,6.0,24.0,8.0,6.0,1.0,0.0,20.0,0.0,24.0,5.0,5.0,17.0,22.0,25.0,28.0,6.0,100.0,11.0,29.0,22.0,7.0,23.0,37.0,25.0,24.0,20.0,38.0,28.0,19.0,21.0,14.0,18.0,20.0,31.0,35.0,31.0,38.0,24.0,16.0,34.0,11.0,16.0,36.0,26.0,12.0,11.0,29.0,5.0,34.0,35.0,31.0,8.0,16.0,22.0,20.0,10.0,26.0,26.0,5.0,10.0,10.0,15.0,31.0,10.0,15.0,5.0,8.0,38.0,36.0,15.0,8.0,13.0,28.0,25.0,36.0,9.0
DC37,1.0,29.0,17.0,1.0,8.0,13.0,11.0,0.0,19.0,17.0,0.0,23.0,4.0,0.0,22.0,15.0,21.0,6.0,15.0,18.0,13.0,20.0,22.0,3.0,0.0,20.0,1.0,15.0,21.0,21.0,16.0,10.0,10.0,11.0,29.0,11.0,100.0,13.0,19.0,23.0,24.0,13.0,15.0,13.0,17.0,16.0,18.0,24.0,15.0,22.0,17.0,26.0,13.0,21.0,11.0,15.0,16.0,26.0,11.0,20.0,25.0,12.0,11.0,21.0,21.0,10.0,24.0,11.0,14.0,14.0,22.0,22.0,13.0,15.0,22.0,30.0,20.0,21.0,18.0,21.0,16.0,20.0,20.0,29.0,23.0,24.0,14.0,13.0,20.0,23.0,20.0,13.0,14.0,20.0,18.0
DC38,0.0,5.0,19.0,0.0,22.0,28.0,33.0,0.0,24.0,21.0,0.0,10.0,1.0,0.0,13.0,31.0,25.0,28.0,35.0,16.0,28.0,8.0,7.0,0.0,0.0,23.0,0.0,28.0,8.0,3.0,13.0,25.0,21.0,35.0,9.0,29.0,13.0,100.0,23.0,12.0,13.0,30.0,26.0,24.0,22.0,24.0,32.0,19.0,23.0,19.0,24.0,22.0,24.0,26.0,33.0,37.0,29.0,17.0,33.0,12.0,14.0,30.0,29.0,23.0,14.0,17.0,14.0,32.0,34.0,36.0,8.0,19.0,22.0,22.0,17.0,20.0,24.0,10.0,12.0,15.0,21.0,31.0,10.0,17.0,4.0,9.0,28.0,28.0,15.0,9.0,14.0,29.0,26.0,34.0,19.0
DC39,0.0,13.0,12.0,1.0,22.0,20.0,22.0,0.0,23.0,14.0,0.0,18.0,1.0,0.0,25.0,25.0,29.0,26.0,23.0,26.0,23.0,25.0,23.0,0.0,0.0,24.0,1.0,18.0,24.0,17.0,29.0,15.0,24.0,20.0,22.0,22.0,19.0,23.0,100.0,25.0,26.0,14.0,23.0,14.0,25.0,20.0,11.0,12.0,20.0,17.0,25.0,23.0,12.0,9.0,21.0,24.0,29.0,25.0,15.0,15.0,26.0,10.0,16.0,34.0,29.0,20.0,14.0,15.0,21.0,18.0,17.0,22.0,16.0,24.0,19.0,26.0,22.0,21.0,18.0,22.0,26.0,18.0,25.0,20.0,23.0,18.0,20.0,17.0,23.0,19.0,26.0,24.0,26.0,21.0,18.0
DC40,1.0,33.0,15.0,1.0,14.0,12.0,9.0,0.0,12.0,8.0,2.0,36.0,1.0,0.0,41.0,10.0,18.0,16.0,14.0,31.0,9.0,44.0,39.0,1.0,0.0,20.0,4.0,9.0,29.0,33.0,28.0,17.0,11.0,10.0,28.0,7.0,23.0,12.0,25.0,100.0,20.0,5.0,8.0,5.0,22.0,12.0,7.0,31.0,6.0,15.0,17.0,12.0,5.0,5.0,12.0,8.0,11.0,19.0,4.0,28.0,36.0,3.0,8.0,20.0,31.0,11.0,32.0,7.0,8.0,7.0,29.0,25.0,16.0,17.0,20.0,16.0,9.0,31.0,33.0,32.0,25.0,9.0,39.0,24.0,29.0,34.0,8.0,5.0,34.0,32.0,23.0,11.0,13.0,13.0,29.0
DC41,0.0,13.0,25.0,1.0,21.0,17.0,14.0,0.0,24.0,20.0,1.0,18.0,1.0,0.0,16.0,23.0,24.0,16.0,19.0,20.0,21.0,20.0,14.0,1.0,0.0,24.0,1.0,15.0,15.0,22.0,22.0,20.0,18.0,22.0,21.0,23.0,24.0,13.0,26.0,20.0,100.0,12.0,17.0,22.0,20.0,21.0,12.0,26.0,14.0,17.0,17.0,21.0,18.0,17.0,19.0,16.0,24.0,30.0,15.0,13.0,24.0,10.0,19.0,18.0,23.0,19.0,15.0,19.0,15.0,14.0,22.0,18.0,21.0,23.0,25.0,28.0,23.0,16.0,20.0,26.0,24.0,17.0,15.0,18.0,25.0,11.0,17.0,17.0,21.0,15.0,17.0,19.0,16.0,20.0,16.0
DC42,0.0,2.0,20.0,0.0,27.0,27.0,33.0,0.0,28.0,29.0,0.0,13.0,0.0,0.0,8.0,35.0,16.0,37.0,31.0,11.0,32.0,6.0,4.0,0.0,0.0,22.0,0.0,48.0,4.0,9.0,10.0,21.0,25.0,26.0,10.0,37.0,13.0,30.0,14.0,5.0,12.0,100.0,29.0,33.0,18.0,32.0,43.0,13.0,25.0,16.0,17.0,25.0,37.0,30.0,29.0,44.0,32.0,11.0,42.0,7.0,10.0,42.0,35.0,14.0,12.0,26.0,8.0,34.0,36.0,41.0,8.0,15.0,20.0,30.0,12.0,19.0,30.0,9.0,10.0,8.0,13.0,31.0,4.0,12.0,8.0,10.0,33.0,36.0,8.0,7.0,10.0,34.0,27.0,26.0,10.0
DC43,0.0,6.0,25.0,0.0,32.0,33.0,39.0,0.0,28.0,22.0,0.0,12.0,0.0,0.0,9.0,27.0,22.0,34.0,32.0,11.0,32.0,9.0,7.0,1.0,0.0,23.0,0.0,34.0,7.0,11.0,10.0,21.0,29.0,30.0,10.0,25.0,15.0,26.0,23.0,8.0,17.0,29.0,100.0,28.0,21.0,40.0,35.0,14.0,35.0,15.0,19.0,32.0,31.0,27.0,32.0,33.0,28.0,20.0,28.0,7.0,14.0,36.0,30.0,15.0,16.0,20.0,7.0,28.0,29.0,34.0,12.0,20.0,25.0,33.0,16.0,20.0,39.0,10.0,10.0,12.0,21.0,31.0,9.0,11.0,7.0,2.0,33.0,35.0,9.0,10.0,15.0,27.0,26.0,38.0,15.0
DC44,0.0,5.0,23.0,0.0,29.0,31.0,27.0,0.0,26.0,24.0,0.0,16.0,0.0,0.0,8.0,31.0,19.0,25.0,23.0,7.0,34.0,13.0,6.0,0.0,0.0,16.0,0.0,35.0,11.0,8.0,12.0,20.0,22.0,22.0,12.0,24.0,13.0,24.0,14.0,5.0,22.0,33.0,28.0,100.0,26.0,35.0,31.0,18.0,23.0,12.0,20.0,23.0,30.0,34.0,31.0,35.0,21.0,19.0,44.0,11.0,11.0,35.0,29.0,12.0,15.0,20.0,6.0,32.0,25.0,33.0,9.0,19.0,23.0,23.0,14.0,20.0,25.0,7.0,9.0,10.0,10.0,23.0,8.0,9.0,5.0,5.0,38.0,25.0,9.0,11.0,9.0,25.0,21.0,20.0,9.0
DC45,0.0,17.0,22.0,0.0,17.0,20.0,19.0,0.0,17.0,25.0,0.0,18.0,1.0,0.0,22.0,21.0,22.0,21.0,16.0,20.0,16.0,18.0,16.0,1.0,0.0,24.0,1.0,19.0,22.0,13.0,22.0,27.0,29.0,15.0,19.0,20.0,17.0,22.0,25.0,22.0,20.0,18.0,21.0,26.0,100.0,14.0,12.0,19.0,22.0,17.0,27.0,23.0,20.0,16.0,16.0,20.0,26.0,25.0,13.0,14.0,23.0,10.0,15.0,20.0,27.0,23.0,17.0,22.0,16.0,17.0,11.0,16.0,21.0,22.0,26.0,18.0,26.0,18.0,14.0,23.0,25.0,20.0,16.0,17.0,16.0,13.0,20.0,17.0,19.0,19.0,24.0,25.0,19.0,15.0,16.0
DC46,0.0,3.0,31.0,0.0,31.0,23.0,40.0,0.0,49.0,30.0,0.0,7.0,0.0,0.0,4.0,36.0,13.0,30.0,24.0,10.0,26.0,5.0,7.0,1.0,0.0,13.0,0.0,37.0,5.0,9.0,7.0,17.0,23.0,28.0,6.0,38.0,16.0,24.0,20.0,12.0,21.0,32.0,40.0,35.0,14.0,100.0,39.0,7.0,24.0,13.0,15.0,29.0,44.0,33.0,30.0,33.0,22.0,14.0,42.0,5.0,10.0,50.0,39.0,11.0,12.0,27.0,3.0,39.0,33.0,30.0,12.0,11.0,16.0,23.0,12.0,21.0,34.0,6.0,9.0,6.0,14.0,37.0,6.0,11.0,6.0,6.0,40.0,41.0,9.0,6.0,12.0,27.0,23.0,30.0,6.0
DC47,0.0,5.0,19.0,0.0,28.0,30.0,37.0,0.0,32.0,30.0,1.0,7.0,0.0,0.0,7.0,32.0,17.0,32.0,28.0,7.0,30.0,5.0,3.0,1.0,0.0,16.0,0.0,40.0,9.0,5.0,11.0,18.0,20.0,28.0,8.0,28.0,18.0,32.0,11.0,7.0,12.0,43.0,35.0,31.0,12.0,39.0,100.0,7.0,31.0,14.0,16.0,25.0,35.0,37.0,29.0,40.0,28.0,15.0,38.0,5.0,10.0,46.0,34.0,17.0,10.0,21.0,4.0,35.0,33.0,44.0,8.0,15.0,23.0,22.0,15.0,17.0,33.0,8.0,9.0,6.0,7.0,34.0,7.0,16.0,7.0,4.0,37.0,36.0,6.0,16.0,10.0,27.0,25.0,24.0,9.0
DC48,1.0,24.0,23.0,1.0,18.0,18.0,12.0,0.0,14.0,15.0,0.0,20.0,1.0,0.0,30.0,16.0,19.0,11.0,18.0,21.0,9.0,31.0,13.0,0.0,0.0,28.0,1.0,9.0,24.0,27.0,29.0,18.0,11.0,15.0,29.0,19.0,24.0,19.0,12.0,31.0,26.0,13.0,14.0,18.0,19.0,7.0,7.0,100.0,13.0,20.0,25.0,13.0,10.0,10.0,16.0,15.0,14.0,25.0,5.0,31.0,25.0,8.0,8.0,16.0,30.0,20.0,29.0,15.0,12.0,10.0,21.0,22.0,21.0,18.0,21.0,24.0,9.0,21.0,32.0,20.0,25.0,11.0,22.0,23.0,26.0,19.0,14.0,11.0,25.0,24.0,28.0,15.0,22.0,15.0,27.0
DC49,0.0,7.0,23.0,0.0,18.0,29.0,28.0,0.0,25.0,22.0,0.0,10.0,0.0,0.0,11.0,20.0,16.0,34.0,19.0,13.0,29.0,5.0,10.0,1.0,0.0,18.0,0.0,27.0,10.0,11.0,12.0,19.0,31.0,26.0,9.0,21.0,15.0,23.0,20.0,6.0,14.0,25.0,35.0,23.0,22.0,24.0,31.0,13.0,100.0,7.0,26.0,26.0,30.0,26.0,19.0,29.0,19.0,17.0,26.0,8.0,10.0,28.0,34.0,11.0,22.0,27.0,13.0,22.0,23.0,27.0,12.0,22.0,19.0,24.0,12.0,13.0,16.0,12.0,8.0,14.0,15.0,22.0,11.0,11.0,11.0,9.0,37.0,27.0,14.0,13.0,22.0,24.0,19.0,28.0,14.0
DC50,0.0,16.0,15.0,2.0,15.0,14.0,13.0,0.0,14.0,12.0,0.0,20.0,3.0,0.0,13.0,9.0,14.0,14.0,18.0,18.0,13.0,20.0,19.0,1.0,0.0,18.0,1.0,12.0,16.0,22.0,17.0,21.0,19.0,18.0,18.0,14.0,22.0,19.0,17.0,15.0,17.0,16.0,15.0,12.0,17.0,13.0,14.0,20.0,7.0,100.0,13.0,24.0,9.0,12.0,17.0,12.0,20.0,30.0,5.0,20.0,22.0,6.0,12.0,22.0,19.0,14.0,19.0,9.0,19.0,15.0,21.0,19.0,26.0,18.0,24.0,20.0,19.0,30.0,21.0,21.0,30.0,13.0,22.0,27.0,30.0,15.0,11.0,15.0,24.0,14.0,20.0,17.0,17.0,19.0,19.0
DC51,0.0,15.0,28.0,0.0,28.0,17.0,16.0,0.0,23.0,18.0,2.0,14.0,0.0,0.0,15.0,24.0,22.0,18.0,25.0,11.0,20.0,21.0,13.0,1.0,0.0,25.0,1.0,18.0,14.0,17.0,20.0,22.0,25.0,19.0,18.0,18.0,17.0,24.0,25.0,17.0,17.0,17.0,19.0,20.0,27.0,15.0,16.0,25.0,26.0,13.0,100.0,17.0,19.0,17.0,18.0,18.0,25.0,18.0,14.0,10.0,22.0,17.0,22.0,25.0,24.0,19.0,17.0,18.0,18.0,22.0,14.0,20.0,28.0,25.0,14.0,20.0,22.0,10.0,16.0,18.0,22.0,12.0,17.0,17.0,18.0,14.0,20.0,22.0,17.0,17.0,17.0,24.0,21.0,22.0,23.0
DC52,0.0,8.0,21.0,0.0,26.0,28.0,33.0,0.0,28.0,24.0,0.0,17.0,1.0,0.0,12.0,24.0,25.0,24.0,25.0,16.0,18.0,14.0,11.0,0.0,0.0,30.0,0.0,24.0,11.0,12.0,11.0,19.0,30.0,30.0,14.0,20.0,26.0,22.0,23.0,12.0,21.0,25.0,32.0,23.0,23.0,29.0,25.0,13.0,26.0,24.0,17.0,100.0,29.0,26.0,22.0,29.0,23.0,31.0,25.0,15.0,16.0,24.0,24.0,21.0,20.0,21.0,14.0,23.0,25.0,27.0,17.0,21.0,20.0,18.0,11.0,27.0,34.0,12.0,7.0,10.0,25.0,30.0,11.0,13.0,12.0,5.0,20.0,33.0,9.0,10.0,17.0,26.0,26.0,27.0,13.0
DC53,0.0,6.0,26.0,0.0,30.0,27.0,30.0,0.0,29.0,26.0,1.0,6.0,0.0,0.0,5.0,25.0,19.0,31.0,25.0,9.0,23.0,7.0,5.0,1.0,0.0,21.0,0.0,24.0,4.0,10.0,9.0,18.0,30.0,29.0,7.0,31.0,13.0,24.0,12.0,5.0,18.0,37.0,31.0,30.0,20.0,44.0,35.0,10.0,30.0,9.0,19.0,29.0,100.0,38.0,20.0,29.0,20.0,18.0,37.0,8.0,9.0,35.0,40.0,11.0,7.0,35.0,11.0,39.0,25.0,23.0,7.0,14.0,21.0,18.0,8.0,23.0,28.0,6.0,10.0,13.0,17.0,40.0,3.0,7.0,5.0,10.0,31.0,33.0,6.0,8.0,9.0,32.0,22.0,27.0,10.0
DC54,0.0,3.0,27.0,0.0,27.0,30.0,39.0,0.0,27.0,33.0,0.0,7.0,0.0,0.0,6.0,33.0,4.0,26.0,27.0,7.0,22.0,7.0,4.0,1.0,0.0,16.0,0.0,30.0,7.0,4.0,8.0,19.0,28.0,29.0,6.0,35.0,21.0,26.0,9.0,5.0,17.0,30.0,27.0,34.0,16.0,33.0,37.0,10.0,26.0,12.0,17.0,26.0,38.0,100.0,20.0,30.0,16.0,15.0,42.0,6.0,8.0,36.0,35.0,13.0,5.0,36.0,6.0,36.0,29.0,24.0,10.0,11.0,21.0,25.0,4.0,25.0,32.0,5.0,10.0,7.0,16.0,32.0,5.0,15.0,5.0,5.0,37.0,31.0,9.0,7.0,9.0,26.0,20.0,20.0,13.0
DC55,0.0,6.0,20.0,1.0,22.0,26.0,23.0,0.0,28.0,26.0,0.0,17.0,1.0,0.0,4.0,25.0,21.0,36.0,29.0,11.0,32.0,6.0,8.0,0.0,0.0,17.0,0.0,29.0,10.0,10.0,8.0,15.0,17.0,30.0,11.0,31.0,11.0,33.0,21.0,12.0,19.0,29.0,32.0,31.0,16.0,30.0,29.0,16.0,19.0,17.0,18.0,22.0,20.0,20.0,100.0,28.0,25.0,22.0,31.0,9.0,12.0,30.0,33.0,10.0,16.0,31.0,7.0,30.0,33.0,23.0,7.0,16.0,22.0,18.0,13.0,24.0,23.0,10.0,12.0,12.0,20.0,30.0,7.0,15.0,9.0,10.0,31.0,31.0,9.0,10.0,14.0,21.0,16.0,28.0,16.0
DC56,0.0,5.0,20.0,0.0,24.0,19.0,41.0,0.0,30.0,24.0,0.0,6.0,1.0,0.0,7.0,36.0,11.0,37.0,30.0,8.0,33.0,6.0,4.0,1.0,0.0,18.0,0.0,39.0,4.0,5.0,14.0,17.0,26.0,23.0,7.0,38.0,15.0,37.0,24.0,8.0,16.0,44.0,33.0,35.0,20.0,33.0,40.0,15.0,29.0,12.0,18.0,29.0,29.0,30.0,28.0,100.0,23.0,21.0,42.0,5.0,10.0,47.0,34.0,15.0,17.0,30.0,8.0,37.0,42.0,37.0,12.0,15.0,23.0,26.0,9.0,16.0,30.0,7.0,7.0,8.0,12.0,37.0,7.0,14.0,3.0,3.0,46.0,30.0,7.0,14.0,12.0,36.0,27.0,31.0,10.0
DC57,0.0,11.0,10.0,0.0,20.0,32.0,20.0,0.0,26.0,19.0,0.0,17.0,0.0,0.0,21.0,24.0,27.0,27.0,28.0,19.0,30.0,15.0,7.0,0.0,0.0,26.0,0.0,25.0,18.0,18.0,14.0,29.0,21.0,24.0,21.0,24.0,16.0,29.0,29.0,11.0,24.0,32.0,28.0,21.0,26.0,22.0,28.0,14.0,19.0,20.0,25.0,23.0,20.0,16.0,25.0,23.0,100.0,26.0,21.0,8.0,17.0,19.0,24.0,28.0,17.0,14.0,10.0,16.0,27.0,26.0,15.0,18.0,20.0,28.0,27.0,33.0,30.0,12.0,15.0,13.0,22.0,21.0,10.0,21.0,16.0,14.0,22.0,28.0,14.0,11.0,25.0,32.0,24.0,28.0,14.0
DC58,0.0,17.0,14.0,3.0,18.0,20.0,12.0,0.0,27.0,19.0,1.0,16.0,1.0,0.0,14.0,16.0,22.0,19.0,15.0,23.0,20.0,22.0,8.0,2.0,0.0,23.0,1.0,15.0,20.0,23.0,28.0,13.0,23.0,21.0,19.0,16.0,26.0,17.0,25.0,19.0,30.0,11.0,20.0,19.0,25.0,14.0,15.0,25.0,17.0,30.0,18.0,31.0,18.0,15.0,22.0,21.0,26.0,100.0,14.0,18.0,27.0,14.0,18.0,22.0,24.0,17.0,19.0,17.0,20.0,13.0,21.0,22.0,20.0,20.0,15.0,29.0,19.0,15.0,19.0,26.0,26.0,16.0,19.0,16.0,19.0,11.0,20.0,19.0,17.0,18.0,27.0,22.0,18.0,24.0,21.0
DC59,0.0,2.0,24.0,0.0,29.0,30.0,44.0,0.0,38.0,33.0,0.0,9.0,0.0,0.0,4.0,33.0,11.0,34.0,22.0,15.0,34.0,6.0,4.0,0.0,0.0,13.0,0.0,39.0,4.0,11.0,7.0,14.0,28.0,23.0,6.0,34.0,11.0,33.0,15.0,4.0,15.0,42.0,28.0,44.0,13.0,42.0,38.0,5.0,26.0,5.0,14.0,25.0,37.0,42.0,31.0,42.0,21.0,14.0,100.0,6.0,2.0,57.0,46.0,11.0,5.0,27.0,5.0,44.0,37.0,40.0,6.0,9.0,20.0,24.0,9.0,21.0,28.0,5.0,5.0,5.0,12.0,31.0,4.0,16.0,4.0,5.0,38.0,41.0,7.0,6.0,11.0,34.0,27.0,25.0,4.0
DC60,1.0,24.0,14.0,3.0,8.0,10.0,5.0,0.0,9.0,9.0,1.0,29.0,2.0,0.0,27.0,7.0,15.0,6.0,7.0,28.0,8.0,25.0,35.0,2.0,0.0,21.0,4.0,7.0,33.0,35.0,27.0,15.0,7.0,10.0,27.0,11.0,20.0,12.0,15.0,28.0,13.0,7.0,7.0,11.0,14.0,5.0,5.0,31.0,8.0,20.0,10.0,15.0,8.0,6.0,9.0,5.0,8.0,18.0,6.0,100.0,26.0,5.0,7.0,20.0,26.0,14.0,37.0,5.0,7.0,6.0,33.0,24.0,12.0,4.0,25.0,14.0,8.0,29.0,27.0,36.0,12.0,7.0,32.0,26.0,30.0,38.0,4.0,8.0,41.0,24.0,26.0,11.0,13.0,12.0,25.0
DC61,0.0,22.0,11.0,0.0,16.0,18.0,12.0,0.0,11.0,13.0,1.0,26.0,2.0,0.0,27.0,8.0,21.0,12.0,17.0,26.0,11.0,31.0,23.0,0.0,0.0,21.0,1.0,9.0,24.0,29.0,31.0,28.0,16.0,13.0,35.0,16.0,25.0,14.0,26.0,36.0,24.0,10.0,14.0,11.0,23.0,10.0,10.0,25.0,10.0,22.0,22.0,16.0,9.0,8.0,12.0,10.0,17.0,27.0,2.0,26.0,100.0,6.0,9.0,25.0,31.0,8.0,32.0,9.0,12.0,9.0,23.0,32.0,12.0,21.0,24.0,19.0,14.0,28.0,35.0,27.0,25.0,10.0,34.0,25.0,28.0,23.0,12.0,9.0,31.0,21.0,25.0,14.0,15.0,17.0,30.0
DC62,0.0,5.0,31.0,0.0,21.0,29.0,42.0,0.0,35.0,32.0,0.0,8.0,0.0,0.0,4.0,29.0,15.0,36.0,27.0,9.0,29.0,5.0,6.0,1.0,0.0,12.0,0.0,42.0,5.0,8.0,7.0,17.0,26.0,30.0,8.0,36.0,12.0,30.0,10.0,3.0,10.0,42.0,36.0,35.0,10.0,50.0,46.0,8.0,28.0,6.0,17.0,24.0,35.0,36.0,30.0,47.0,19.0,14.0,57.0,5.0,6.0,100.0,37.0,10.0,9.0,25.0,5.0,35.0,40.0,46.0,7.0,10.0,23.0,23.0,10.0,16.0,34.0,5.0,7.0,5.0,11.0,44.0,3.0,12.0,3.0,5.0,43.0,32.0,9.0,9.0,9.0,38.0,21.0,25.0,8.0
DC63,0.0,5.0,25.0,0.0,26.0,33.0,30.0,0.0,35.0,31.0,0.0,9.0,0.0,0.0,11.0,29.0,14.0,31.0,20.0,13.0,32.0,6.0,9.0,0.0,0.0,18.0,0.0,32.0,5.0,13.0,8.0,16.0,25.0,29.0,7.0,26.0,11.0,29.0,16.0,8.0,19.0,35.0,30.0,29.0,15.0,39.0,34.0,8.0,34.0,12.0,22.0,24.0,40.0,35.0,33.0,34.0,24.0,18.0,46.0,7.0,9.0,37.0,100.0,11.0,6.0,24.0,9.0,40.0,40.0,36.0,7.0,17.0,15.0,23.0,7.0,24.0,24.0,9.0,13.0,12.0,14.0,21.0,5.0,13.0,3.0,10.0,38.0,42.0,7.0,5.0,16.0,34.0,16.0,26.0,12.0
DC64,0.0,21.0,9.0,1.0,20.0,15.0,10.0,0.0,16.0,13.0,1.0,26.0,2.0,0.0,38.0,15.0,29.0,13.0,18.0,24.0,18.0,25.0,23.0,1.0,0.0,19.0,3.0,11.0,31.0,25.0,29.0,24.0,21.0,15.0,19.0,12.0,21.0,23.0,34.0,20.0,18.0,14.0,15.0,12.0,20.0,11.0,17.0,16.0,11.0,22.0,25.0,21.0,11.0,13.0,10.0,15.0,28.0,22.0,11.0,20.0,25.0,10.0,11.0,100.0,27.0,17.0,32.0,12.0,15.0,12.0,20.0,24.0,18.0,24.0,28.0,23.0,18.0,26.0,23.0,30.0,24.0,8.0,33.0,24.0,25.0,25.0,7.0,14.0,25.0,22.0,17.0,16.0,21.0,17.0,27.0
DC65,0.0,21.0,11.0,0.0,22.0,11.0,11.0,0.0,8.0,9.0,0.0,33.0,1.0,0.0,27.0,19.0,25.0,13.0,14.0,36.0,14.0,27.0,27.0,1.0,0.0,26.0,0.0,11.0,25.0,25.0,33.0,28.0,13.0,12.0,24.0,11.0,21.0,14.0,29.0,31.0,23.0,12.0,16.0,15.0,27.0,12.0,10.0,30.0,22.0,19.0,24.0,20.0,7.0,5.0,16.0,17.0,17.0,24.0,5.0,26.0,31.0,9.0,6.0,27.0,100.0,19.0,29.0,11.0,13.0,13.0,21.0,32.0,24.0,22.0,33.0,18.0,19.0,33.0,23.0,37.0,28.0,13.0,30.0,27.0,27.0,27.0,13.0,8.0,25.0,28.0,32.0,16.0,25.0,17.0,35.0
DC66,0.0,8.0,27.0,0.0,23.0,17.0,22.0,0.0,23.0,26.0,0.0,14.0,1.0,0.0,9.0,27.0,23.0,32.0,28.0,13.0,23.0,15.0,10.0,0.0,0.0,25.0,1.0,18.0,9.0,12.0,15.0,24.0,23.0,31.0,10.0,29.0,10.0,17.0,20.0,11.0,19.0,26.0,20.0,20.0,23.0,27.0,21.0,20.0,27.0,14.0,19.0,21.0,35.0,36.0,31.0,30.0,14.0,17.0,27.0,14.0,8.0,25.0,24.0,17.0,19.0,100.0,14.0,29.0,25.0,18.0,9.0,16.0,25.0,19.0,10.0,23.0,23.0,9.0,11.0,14.0,24.0,30.0,10.0,13.0,12.0,10.0,30.0,24.0,12.0,8.0,22.0,34.0,24.0,20.0,14.0
DC67,1.0,28.0,11.0,1.0,6.0,14.0,9.0,0.0,6.0,6.0,0.0,32.0,2.0,0.0,36.0,9.0,20.0,7.0,15.0,39.0,10.0,23.0,45.0,1.0,0.0,21.0,5.0,4.0,32.0,32.0,28.0,19.0,14.0,15.0,34.0,5.0,24.0,14.0,14.0,32.0,15.0,8.0,7.0,6.0,17.0,3.0,4.0,29.0,13.0,19.0,17.0,14.0,11.0,6.0,7.0,8.0,10.0,19.0,5.0,37.0,32.0,5.0,9.0,32.0,29.0,14.0,100.0,7.0,8.0,7.0,31.0,24.0,12.0,16.0,29.0,11.0,5.0,34.0,34.0,30.0,16.0,6.0,44.0,26.0,35.0,33.0,4.0,6.0,26.0,36.0,31.0,9.0,14.0,13.0,30.0
DC68,0.0,4.0,27.0,0.0,31.0,27.0,28.0,0.0,41.0,37.0,0.0,10.0,1.0,0.0,5.0,37.0,15.0,37.0,26.0,13.0,27.0,4.0,5.0,0.0,0.0,17.0,0.0,39.0,5.0,6.0,11.0,13.0,33.0,24.0,7.0,34.0,11.0,32.0,15.0,7.0,19.0,34.0,28.0,32.0,22.0,39.0,35.0,15.0,22.0,9.0,18.0,23.0,39.0,36.0,30.0,37.0,16.0,17.0,44.0,5.0,9.0,35.0,40.0,12.0,11.0,29.0,7.0,100.0,39.0,28.0,5.0,12.0,24.0,19.0,9.0,25.0,20.0,8.0,10.0,7.0,14.0,35.0,5.0,8.0,2.0,5.0,38.0,36.0,5.0,7.0,11.0,24.0,26.0,28.0,14.0
DC69,0.0,4.0,20.0,0.0,26.0,25.0,31.0,0.0,30.0,30.0,0.0,8.0,0.0,0.0,9.0,23.0,20.0,41.0,30.0,12.0,34.0,3.0,4.0,0.0,0.0,15.0,0.0,37.0,3.0,7.0,11.0,16.0,18.0,34.0,5.0,35.0,14.0,34.0,21.0,8.0,15.0,36.0,29.0,25.0,16.0,33.0,33.0,12.0,23.0,19.0,18.0,25.0,25.0,29.0,33.0,42.0,27.0,20.0,37.0,7.0,12.0,40.0,40.0,15.0,13.0,25.0,8.0,39.0,100.0,36.0,11.0,18.0,22.0,26.0,14.0,19.0,24.0,6.0,9.0,7.0,17.0,44.0,4.0,16.0,3.0,7.0,39.0,36.0,13.0,11.0,10.0,41.0,27.0,21.0,13.0
