,DC01,DC02,DC03,DC04,DC05,DC06,DC07,DC08,DC09,DC10,DC11,DC12,DC13,DC14,DC15,DC16,DC17,DC18,DC19,DC20,DC21,DC22,DC23,DC24,DC25,DC26,DC27,DC28,DC29,DC30,DC31,DC32,DC33,DC34,DC35,DC36,DC37,DC38,DC39,DC40,DC41,DC42,DC43,DC44,DC45,DC46,DC47,DC48,DC49,DC50,DC51,DC52,DC53,DC54,DC55,DC56,DC57,DC58,DC59,DC60,DC61,DC62,DC63,DC64,DC65,DC66,DC67,DC68,DC69,DC70,DC71,DC72,DC73,DC74,DC75,DC76,DC77,DC78,DC79,DC80,DC81,DC82,DC83,DC84,DC85,DC86,DC87,DC88,DC89,DC90,DC91,DC92,DC93,DC94,DC95
DC11,93.0,23.0,4.0,95.0,0.0,0.0,0.0,96.0,1.0,0.0,100.0,1.0,97.0,96.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,95.0,97.0,0.0,98.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
DC12,2.0,37.0,17.0,1.0,27.0,22.0,10.0,0.0,16.0,20.0,1.0,100.0,0.0,0.0,55.0,16.0,33.0,12.0,26.0,52.0,17.0,53.0,55.0,2.0,0.0,33.0,0.0,17.0,60.0,55.0,50.0,48.0,18.0,22.0,56.0,16.0,44.0,18.0,31.0,46.0,31.0,15.0,22.0,19.0,37.0,13.0,13.0,46.0,15.0,54.0,29.0,22.0,25.0,21.0,18.0,12.0,18.0,44.0,14.0,50.0,41.0,12.0,12.0,41.0,47.0,24.0,58.0,13.0,15.0,11.0,45.0,52.0,26.0,27.0,59.0,26.0,27.0,58.0,54.0,59.0,40.0,17.0,44.0,45.0,52.0,53.0,16.0,11.0,48.0,50.0,55.0,24.0,29.0,16.0,46.0
DC13,94.0,23.0,3.0,96.0,0.0,0.0,0.0,97.0,0.0,0.0,97.0,0.0,100.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,96.0,100.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DC14,93.0,23.0,5.0,95.0,0.0,0.0,0.0,96.0,0.0,0.0,96.0,0.0,97.0,100.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,95.0,97.0,0.0,98.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,6.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0
DC15,1.0,35.0,20.0,1.0,22.0,15.0,15.0,0.0,21.0,24.0,0.0,55.0,0.0,1.0,100.0,16.0,39.0,17.0,24.0,47.0,20.0,46.0,50.0,2.0,0.0,38.0,0.0,13.0,52.0,51.0,46.0,37.0,22.0,22.0,51.0,15.0,44.0,23.0,33.0,53.0,40.0,12.0,22.0,19.0,33.0,14.0,12.0,50.0,24.0,45.0,32.0,22.0,18.0,18.0,17.0,16.0,21.0,52.0,19.0,45.0,44.0,12.0,16.0,46.0,42.0,20.0,51.0,12.0,12.0,13.0,44.0,51.0,37.0,21.0,49.0,34.0,24.0,51.0,55.0,53.0,44.0,16.0,51.0,51.0,54.0,53.0,13.0,21.0,47.0,45.0,43.0,16.0,28.0,20.0,49.0
DC16,0.0,11.0,42.0,0.0,54.0,51.0,61.0,0.0,49.0,39.0,0.0,16.0,0.0,0.0,16.0,100.0,45.0,63.0,56.0,20.0,61.0,12.0,12.0,0.0,0.0,40.0,0.0,61.0,15.0,17.0,15.0,28.0,42.0,67.0,18.0,52.0,19.0,59.0,45.0,16.0,40.0,65.0,55.0,54.0,33.0,51.0,57.0,25.0,45.0,17.0,36.0,48.0,49.0,52.0,48.0,63.0,51.0,32.0,60.0,11.0,25.0,53.0,50.0,32.0,27.0,42.0,18.0,56.0,65.0,65.0,14.0,23.0,41.0,48.0,28.0,42.0,52.0,16.0,16.0,14.0,28.0,63.0,23.0,28.0,13.0,11.0,63.0,60.0,24.0,21.0,19.0,52.0,45.0,59.0,23.0
DC17,0.0,18.0,25.0,0.0,38.0,36.0,36.0,0.0,38.0,32.0,0.0,33.0,0.0,0.0,39.0,45.0,100.0,38.0,34.0,38.0,44.0,34.0,30.0,1.0,0.0,41.0,0.0,33.0,39.0,31.0,35.0,30.0,39.0,40.0,30.0,29.0,35.0,44.0,51.0,32.0,34.0,32.0,45.0,32.0,37.0,37.0,37.0,35.0,35.0,28.0,30.0,54.0,40.0,34.0,33.0,38.0,51.0,41.0,35.0,21.0,40.0,34.0,38.0,32.0,45.0,31.0,36.0,27.0,43.0,32.0,27.0,36.0,42.0,41.0,43.0,47.0,36.0,30.0,33.0,29.0,45.0,34.0,36.0,40.0,28.0,30.0,31.0,34.0,29.0,34.0,36.0,34.0,46.0,46.0,38.0
DC18,0.0,8.0,37.0,0.0,53.0,57.0,69.0,0.0,55.0,43.0,0.0,12.0,0.0,0.0,17.0,63.0,38.0,100.0,57.0,18.0,59.0,15.0,12.0,0.0,0.0,38.0,0.0,67.0,9.0,13.0,14.0,25.0,41.0,60.0,15.0,53.0,18.0,60.0,46.0,18.0,33.0,69.0,54.0,59.0,32.0,55.0,67.0,18.0,43.0,13.0,42.0,49.0,55.0,58.0,50.0,69.0,52.0,28.0,64.0,7.0,18.0,70.0,56.0,21.0,32.0,49.0,10.0,59.0,61.0,70.0,13.0,21.0,40.0,52.0,16.0,33.0,54.0,12.0,16.0,17.0,22.0,66.0,16.0,23.0,11.0,9.0,65.0,57.0,20.0,16.0,20.0,50.0,46.0,65.0,20.0
DC19,0.0,11.0,39.0,0.0,50.0,51.0,55.0,0.0,44.0,37.0,0.0,26.0,0.0,0.0,24.0,56.0,34.0,57.0,100.0,23.0,58.0,19.0,12.0,0.0,0.0,30.0,0.0,59.0,19.0,18.0,19.0,38.0,47.0,57.0,16.0,46.0,28.0,56.0,34.0,14.0,32.0,62.0,42.0,57.0,40.0,51.0,50.0,25.0,52.0,17.0,42.0,36.0,50.0,47.0,41.0,60.0,38.0,36.0,52.0,16.0,24.0,54.0,41.0,23.0,29.0,43.0,13.0,56.0,51.0,48.0,16.0,33.0,36.0,43.0,27.0,37.0,50.0,17.0,19.0,24.0,37.0,63.0,15.0,25.0,20.0,11.0,57.0,51.0,24.0,28.0,24.0,54.0,45.0,48.0,28.0
DC20,1.0,32.0,18.0,1.0,25.0,26.0,12.0,1.0,17.0,21.0,1.0,52.0,0.0,1.0,47.0,20.0,38.0,18.0,23.0,100.0,24.0,55.0,51.0,1.0,0.0,35.0,0.0,13.0,64.0,47.0,53.0,54.0,27.0,17.0,47.0,24.0,50.0,22.0,31.0,49.0,24.0,10.0,20.0,10.0,42.0,17.0,14.0,47.0,22.0,42.0,27.0,29.0,19.0,13.0,22.0,13.0,26.0,36.0,12.0,46.0,38.0,19.0,15.0,48.0,51.0,21.0,60.0,14.0,14.0,19.0,42.0,51.0,25.0,26.0,61.0,24.0,27.0,52.0,59.0,51.0,43.0,22.0,56.0,55.0,45.0,52.0,19.0,22.0,54.0,53.0,52.0,23.0,30.0,23.0,54.0
DC21,0.0,9.0,35.0,0.0,49.0,61.0,62.0,0.0,42.0,32.0,0.0,17.0,0.0,0.0,20.0,61.0,44.0,59.0,58.0,24.0,100.0,15.0,15.0,0.0,0.0,36.0,0.0,57.0,24.0,17.0,23.0,36.0,46.0,67.0,16.0,46.0,22.0,56.0,43.0,20.0,27.0,59.0,52.0,47.0,31.0,48.0,60.0,23.0,49.0,16.0,39.0,45.0,50.0,44.0,47.0,57.0,48.0,32.0,56.0,13.0,27.0,59.0,51.0,31.0,28.0,44.0,14.0,53.0,59.0,58.0,18.0,24.0,35.0,49.0,30.0,43.0,56.0,11.0,23.0,17.0,36.0,50.0,17.0,24.0,17.0,14.0,58.0,47.0,24.0,24.0,18.0,49.0,48.0,55.0,26.0
DC22,4.0,40.0,20.0,1.0,18.0,12.0,8.0,2.0,21.0,20.0,1.0,53.0,0.0,1.0,46.0,12.0,34.0,15.0,19.0,55.0,15.0,100.0,50.0,0.0,0.0,29.0,0.0,9.0,58.0,58.0,55.0,37.0,19.0,15.0,53.0,8.0,42.0,14.0,32.0,43.0,32.0,9.0,16.0,12.0,34.0,14.0,14.0,48.0,18.0,50.0,20.0,23.0,18.0,12.0,22.0,10.0,18.0,44.0,9.0,52.0,46.0,12.0,14.0,39.0,48.0,17.0,59.0,12.0,12.0,11.0,49.0,42.0,30.0,18.0,46.0,30.0,21.0,56.0,57.0,52.0,44.0,15.0,57.0,50.0,50.0,53.0,15.0,14.0,57.0,51.0,56.0,24.0,21.0,16.0,57.0
DC23,5.0,42.0,26.0,4.0,17.0,18.0,5.0,2.0,15.0,19.0,3.0,55.0,1.0,2.0,50.0,12.0,30.0,12.0,12.0,51.0,15.0,50.0,100.0,4.0,1.0,30.0,1.0,8.0,56.0,56.0,53.0,39.0,20.0,12.0,55.0,16.0,40.0,17.0,31.0,53.0,31.0,8.0,12.0,8.0,29.0,10.0,9.0,41.0,10.0,52.0,28.0,23.0,13.0,19.0,18.0,12.0,16.0,42.0,6.0,51.0,37.0,9.0,11.0,36.0,47.0,14.0,51.0,7.0,10.0,7.0,49.0,53.0,19.0,18.0,43.0,20.0,18.0,60.0,54.0,55.0,28.0,8.0,60.0,46.0,57.0,58.0,14.0,12.0,50.0,48.0,51.0,19.0,22.0,11.0,42.0
DC24,92.0,22.0,3.0,96.0,0.0,0.0,0.0,95.0,0.0,2.0,95.0,2.0,96.0,95.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,100.0,96.0,1.0,97.0,0.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,9.0,2.0,2.0,1.0,1.0,1.0,0.0,3.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,6.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0
DC25,94.0,23.0,3.0,96.0,0.0,0.0,0.0,97.0,0.0,0.0,97.0,0.0,100.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,96.0,100.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DC26,0.0,22.0,30.0,0.0,38.0,31.0,35.0,0.0,40.0,34.0,0.0,33.0,0.0,0.0,38.0,40.0,41.0,38.0,30.0,35.0,36.0,29.0,30.0,1.0,0.0,100.0,0.0,32.0,38.0,28.0,33.0,39.0,45.0,36.0,33.0,33.0,36.0,36.0,32.0,27.0,40.0,40.0,47.0,38.0,36.0,42.0,32.0,35.0,43.0,34.0,39.0,39.0,38.0,39.0,38.0,30.0,34.0,32.0,35.0,33.0,47.0,36.0,34.0,34.0,35.0,41.0,29.0,39.0,33.0,37.0,24.0,38.0,54.0,40.0,34.0,36.0,30.0,32.0,34.0,28.0,38.0,42.0,36.0,35.0,35.0,26.0,39.0,35.0,38.0,28.0,31.0,37.0,34.0,42.0,29.0
DC27,95.0,23.0,3.0,97.0,0.0,0.0,0.0,98.0,0.0,0.0,98.0,0.0,99.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,97.0,99.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DC28,0.0,8.0,36.0,0.0,64.0,60.0,66.0,0.0,58.0,50.0,0.0,17.0,0.0,0.0,13.0,61.0,33.0,67.0,59.0,13.0,57.0,9.0,8.0,0.0,0.0,32.0,0.0,100.0,9.0,12.0,11.0,22.0,45.0,59.0,16.0,58.0,16.0,58.0,36.0,15.0,28.0,71.0,56.0,63.0,36.0,62.0,63.0,18.0,54.0,11.0,35.0,44.0,53.0,63.0,44.0,64.0,50.0,26.0,66.0,11.0,15.0,67.0,60.0,22.0,21.0,51.0,9.0,62.0,74.0,69.0,16.0,21.0,35.0,49.0,18.0,34.0,55.0,9.0,12.0,10.0,27.0,63.0,10.0,15.0,14.0,9.0,64.0,55.0,16.0,12.0,19.0,59.0,43.0,59.0,12.0
DC29,0.0,33.0,22.0,1.0,23.0,22.0,11.0,1.0,12.0,18.0,2.0,60.0,0.0,1.0,52.0,15.0,39.0,9.0,19.0,64.0,24.0,58.0,56.0,1.0,0.0,38.0,0.0,9.0,100.0,53.0,54.0,48.0,25.0,20.0,56.0,15.0,40.0,23.0,39.0,51.0,21.0,13.0,21.0,12.0,41.0,16.0,13.0,46.0,17.0,51.0,31.0,26.0,19.0,13.0,21.0,13.0,26.0,38.0,11.0,51.0,47.0,14.0,16.0,41.0,48.0,17.0,54.0,6.0,8.0,15.0,47.0,57.0,30.0,23.0,55.0,26.0,22.0,54.0,64.0,49.0,39.0,17.0,55.0,47.0,52.0,53.0,11.0,14.0,44.0,53.0,47.0,22.0,29.0,22.0,53.0
DC30,2.0,43.0,20.0,3.0,21.0,16.0,12.0,0.0,17.0,21.0,2.0,55.0,0.0,1.0,51.0,17.0,31.0,13.0,18.0,47.0,17.0,58.0,56.0,3.0,0.0,28.0,0.0,12.0,53.0,100.0,53.0,31.0,19.0,14.0,50.0,20.0,42.0,16.0,28.0,52.0,36.0,11.0,13.0,17.0,37.0,14.0,13.0,47.0,14.0,50.0,20.0,23.0,17.0,17.0,19.0,14.0,19.0,47.0,14.0,56.0,46.0,6.0,17.0,40.0,49.0,16.0,58.0,11.0,9.0,12.0,43.0,46.0,28.0,20.0,41.0,28.0,24.0,59.0,51.0,51.0,36.0,11.0,51.0,47.0,59.0,50.0,10.0,14.0,50.0,52.0,42.0,15.0,23.0,12.0,49.0
DC31,2.0,46.0,24.0,1.0,18.0,25.0,10.0,1.0,26.0,25.0,2.0,50.0,0.0,1.0,46.0,15.0,35.0,14.0,19.0,53.0,23.0,55.0,53.0,1.0,0.0,33.0,0.0,11.0,54.0,53.0,100.0,47.0,24.0,15.0,44.0,20.0,38.0,11.0,33.0,46.0,40.0,17.0,22.0,16.0,36.0,19.0,16.0,43.0,19.0,45.0,33.0,24.0,18.0,14.0,30.0,7.0,24.0,42.0,11.0,41.0,50.0,11.0,12.0,43.0,55.0,29.0,54.0,11.0,16.0,10.0,35.0,50.0,24.0,17.0,50.0,30.0,27.0,52.0,46.0,42.0,46.0,13.0,56.0,54.0,53.0,47.0,13.0,17.0,53.0,54.0,49.0,22.0,29.0,21.0,51.0
DC32,1.0,22.0,31.0,0.0,27.0,29.0,24.0,0.0,22.0,18.0,0.0,48.0,0.0,1.0,37.0,28.0,30.0,25.0,38.0,54.0,36.0,37.0,39.0,0.0,0.0,39.0,0.0,22.0,48.0,31.0,47.0,100.0,32.0,32.0,36.0,28.0,48.0,29.0,34.0,38.0,38.0,28.0,29.0,23.0,35.0,23.0,25.0,51.0,27.0,31.0,43.0,30.0,31.0,26.0,29.0,23.0,29.0,37.0,26.0,23.0,36.0,28.0,21.0,47.0,42.0,28.0,44.0,21.0,23.0,23.0,28.0,49.0,24.0,28.0,54.0,29.0,35.0,38.0,48.0,42.0,39.0,32.0,35.0,49.0,36.0,36.0,30.0,31.0,40.0,52.0,40.0,36.0,35.0,32.0,46.0
DC33,0.0,11.0,38.0,0.0,51.0,41.0,42.0,1.0,46.0,46.0,0.0,18.0,0.0,1.0,22.0,42.0,39.0,41.0,47.0,27.0,46.0,19.0,20.0,1.0,0.0,45.0,0.0,45.0,25.0,19.0,24.0,32.0,100.0,40.0,18.0,47.0,34.0,49.0,33.0,22.0,28.0,48.0,46.0,45.0,37.0,56.0,41.0,20.0,53.0,17.0,33.0,47.0,46.0,47.0,40.0,48.0,46.0,33.0,42.0,17.0,30.0,46.0,54.0,22.0,23.0,43.0,16.0,54.0,49.0,42.0,24.0,21.0,44.0,41.0,18.0,41.0,39.0,16.0,14.0,22.0,37.0,47.0,28.0,25.0,21.0,15.0,53.0,41.0,31.0,28.0,21.0,43.0,47.0,43.0,19.0
DC34,0.0,12.0,35.0,1.0,52.0,57.0,61.0,0.0,44.0,41.0,0.0,22.0,0.0,0.0,22.0,67.0,40.0,60.0,57.0,17.0,67.0,15.0,12.0,1.0,0.0,36.0,0.0,59.0,20.0,14.0,15.0,32.0,40.0,100.0,17.0,50.0,22.0,56.0,43.0,14.0,32.0,61.0,50.0,50.0,30.0,47.0,56.0,24.0,47.0,15.0,36.0,39.0,48.0,50.0,46.0,56.0,46.0,33.0,61.0,11.0,29.0,59.0,57.0,33.0,25.0,43.0,12.0,54.0,62.0,63.0,20.0,21.0,40.0,50.0,24.0,45.0,56.0,13.0,19.0,19.0,32.0,53.0,14.0,19.0,15.0,13.0,63.0,51.0,20.0,18.0,24.0,52.0,48.0,52.0,17.0
